id,sort,menu,section,section_ar,category,category_ar,name_en,name_ar,desc_en,price,price_small,price_medium,price_large,calories,available
"i032","32","Fume Menu","Sandwiches","الساندويتشات",".","","Chicken Burger","برغر الدجاج","Charcoal grilled chicken breast coated with herbs & crispy lettuce & sundried tomatoes; topped with Parmesan & served with a spread of cocktail sauce","15","","","","","true"
"i033","33","Fume Menu","Sandwiches","الساندويتشات",".","","Chicken Avocado","تشيكن افوكادو","Avocado, Baguette Brown, Rocca, Grilled Chicken Breast, Panko Sauce","16","","","","","true"
"i034","34","Fume Menu","Pasta","المعكرونة",".","","Chicken Alfredo","دجاج ألفريدو","Fettuccine With Chicken, Mushrooms, Creamy Sauce, Truffle Paste & Oil, Fresh Basil","18","","","","","true"
"i035","35","Fume Menu","Pasta","المعكرونة",".","","Spaghetti Bolognaise","سباغيتي بولونيز","Spaghetti With Tomato & Minced Meat Sauce","16","","","","","true"
"i036","36","Fume Menu","Pasta","المعكرونة",".","","Penne Arabiata","بيني أرابياتا","Penne Served With Spicy Tomato Sauce & Herbs","14","","","","","true"
"i037","37","Fume Menu","Main Course","الأطباق الرئيسية",".","","Grilled Chicken Breast","صدر دجاج مشوي","","20","","","","","true"
"i038","38","Fume Menu","Main Course","الأطباق الرئيسية",".","","Australian Beef Tenderloin","بيف فيليه","Australian Char-grilled Beef Tenderloin Served With Mushroom Sauce","28","","","","","true"
"i039","39","Fume Menu","Main Course","الأطباق الرئيسية",".","","Chicken Shawarma","شاورما دجاج","","12","","","","","true"
"i040","40","Fume Menu","Main Course","الأطباق الرئيسية",".","","Chicken Cordon Bleu","دجاج كوردون بلو","Turkey ham, cheese, Mashed potato, steamed veggie","18","","","","","true"
"i041","41","Fume Menu","Main Course","الأطباق الرئيسية",".","","Grilled Salmon","سلمون مشوي","","30","","","","","true"
"i042","42","Fume Menu","Main Course","الأطباق الرئيسية",".","","Beef Shawarma","شاورما لحمة","","14","","","","","true"
"i043","43","Fume Menu","Main Course","الأطباق الرئيسية","Add-on","إضافات","Add Extra Chicken","إضافة دجاج","","8","","","","","true"
"i044","44","Fume Menu","Main Course","الأطباق الرئيسية","Add-on","إضافات","Add Extra Shrimp","إضافة روبيان","","10","","","","","true"
"i045","45","Fume Menu","Sides","الأطباق الجانبية",".","","Bread Basket","سلة خبز","2 Bread rolls; 2 Pain-de-Mie; 2 Pita bread; 2 Toast & 2 butter Served with butter; Honey & Jam (Apricot & Strawberry).","6","","","","","true"
"i046","46","Fume Menu","Sides","الأطباق الجانبية",".","","Side Yogurt","لبن زبادي جانبي","","5","","","","","true"
"i047","47","Fume Menu","Sides","الأطباق الجانبية",".","","Bakery Basket","سلة مخبوزات","","10","","","","","true"
"i048","48","Fume Menu","Sushi","سوشي","Salads","سلطات","Crazy Crab Salad","","","15","","","","","true"
"i049","49","Fume Menu","Sushi","سوشي","Salads","سلطات","Crazy Salmon Salad","","","22","","","","","true"
"i050","50","Fume Menu","Sushi","سوشي","Salads","سلطات","Salmon Tataki Salad","","","22","","","","","true"
"i051","51","Fume Menu","Sushi","سوشي","Salads","سلطات","Tuna Tataki Salad","","","22","","","","","true"
"i052","52","Fume Menu","Sushi","سوشي","Hosomaki / 3 pieces","هوسوماكي / 3 قطع","Avocado","","","6","","","","","true"
"i053","53","Fume Menu","Sushi","سوشي","Hosomaki / 3 pieces","هوسوماكي / 3 قطع","Crab","","","6","","","","","true"
"i054","54","Fume Menu","Sushi","سوشي","Hosomaki / 3 pieces","هوسوماكي / 3 قطع","Tuna","","","8","","","","","true"
"i055","55","Fume Menu","Sushi","سوشي","Hosomaki / 3 pieces","هوسوماكي / 3 قطع","Salmon","","","9","","","","","true"
"i056","56","Fume Menu","Sushi","سوشي","Hosomaki / 3 pieces","هوسوماكي / 3 قطع","Kappa","","","5","","","","","true"
"i057","57","Fume Menu","Sushi","سوشي","Hosomaki / 3 pieces","هوسوماكي / 3 قطع","Shrimp","","","8","","","","","true"
"i058","58","Fume Menu","Sushi","سوشي","Hosomaki / 3 pieces","هوسوماكي / 3 قطع","Unagi","","","9","","","","","true"
"i059","59","Fume Menu","Sushi","سوشي","Uramaki / 4 pieces","أوراماكي / 4 قطع","Ebico California","","","6","","","","","true"
"i060","60","Fume Menu","Sushi","سوشي","Uramaki / 4 pieces","أوراماكي / 4 قطع","Tanoki","","","6","","","","","true"
"i061","61","Fume Menu","Sushi","سوشي","Uramaki / 4 pieces","أوراماكي / 4 قطع","Naked Spicy Volcano","","","12","","","","","true"
"i062","62","Fume Menu","Sushi","سوشي","Uramaki / 4 pieces","أوراماكي / 4 قطع","Crazy Salmon","","","10","","","","","true"
"i063","63","Fume Menu","Sushi","سوشي","Uramaki / 4 pieces","أوراماكي / 4 قطع","Black Tail","","","10","","","","","true"
"i064","64","Fume Menu","Sushi","سوشي","Uramaki / 4 pieces","أوراماكي / 4 قطع","Spicy Volcano","","","14","","","","","true"
"i065","65","Fume Menu","Sushi","سوشي","Uramaki / 4 pieces","أوراماكي / 4 قطع","Sesame California","","","8","","","","","true"
"i066","66","Fume Menu","Sushi","سوشي","Uramaki / 4 pieces","أوراماكي / 4 قطع","Crispy Crazy","","","7","","","","","true"
"i067","67","Fume Menu","Sushi","سوشي","Uramaki / 4 pieces","أوراماكي / 4 قطع","Chili Shrimp","","","8","","","","","true"
"i068","68","Fume Menu","Sushi","سوشي","Uramaki / 4 pieces","أوراماكي / 4 قطع","Crazy Wrap","","","6","","","","","true"
"i069","69","Fume Menu","Sushi","سوشي","Uramaki / 4 pieces","أوراماكي / 4 قطع","Salmon Crispy","","","12","","","","","true"
"i070","70","Fume Menu","Sushi","سوشي","Uramaki / 4 pieces","أوراماكي / 4 قطع","Cheesy Salmon","","","12","","","","","true"
"i071","71","Fume Menu","Sushi","سوشي","Uramaki Signatures / 8 pieces","أوراماكي سيناتشر / 8 قطع","Rainbow","","","17","","","","","true"
"i072","72","Fume Menu","Sushi","سوشي","Uramaki Signatures / 8 pieces","أوراماكي سيناتشر / 8 قطع","Sunset","","","13","","","","","true"
"i073","73","Fume Menu","Sushi","سوشي","Uramaki Signatures / 8 pieces","أوراماكي سيناتشر / 8 قطع","Dragon","","","13","","","","","true"
"i074","74","Fume Menu","Sushi","سوشي","Uramaki Signatures / 8 pieces","أوراماكي سيناتشر / 8 قطع","Caterpillar","","","13","","","","","true"
"i075","75","Fume Menu","Sushi","سوشي","Uramaki Signatures / 8 pieces","أوراماكي سيناتشر / 8 قطع","Shrimp Lover","","","13","","","","","true"
"i076","76","Fume Menu","Sushi","سوشي","Temaki","تيماكي","California","","","7","","","","","true"
"i077","77","Fume Menu","Sushi","سوشي","Temaki","تيماكي","Salmon","","","8","","","","","true"
"i078","78","Fume Menu","Sushi","سوشي","Temaki","تيماكي","Norwegian","","","10","","","","","true"
"i079","79","Fume Menu","Sushi","سوشي","Temaki","تيماكي","Tuna","","","8","","","","","true"
"i080","80","Fume Menu","Sushi","سوشي","Sashimi / 3 pieces","ساشيمي / 3 قطع","Crab","","","6","","","","","true"
"i081","81","Fume Menu","Sushi","سوشي","Sashimi / 3 pieces","ساشيمي / 3 قطع","Salmon","","","12","","","","","true"
"i082","82","Fume Menu","Sushi","سوشي","Sashimi / 3 pieces","ساشيمي / 3 قطع","Shrimp 30 g","","","6","","","","","true"
"i083","83","Fume Menu","Sushi","سوشي","Sashimi / 3 pieces","ساشيمي / 3 قطع","Scalopp","","","10","","","","","true"
"i084","84","Fume Menu","Sushi","سوشي","Sashimi / 3 pieces","ساشيمي / 3 قطع","Hamachi","","","10","","","","","true"
"i085","85","Fume Menu","Sushi","سوشي","Sashimi / 3 pieces","ساشيمي / 3 قطع","Tuna","","","10","","","","","true"
"i086","86","Fume Menu","Sushi","سوشي","Sashimi / 3 pieces","ساشيمي / 3 قطع","Unagi","","","10","","","","","true"
"i087","87","Fume Menu","Sushi","سوشي","Sashimi / 3 pieces","ساشيمي / 3 قطع","White Fish","","","20","","","","","true"
"i088","88","Fume Menu","Sushi","سوشي","Nigiri / 2 pieces","نيغيري / قطعتان","Shrimp","","","5","","","","","true"
"i089","89","Fume Menu","Sushi","سوشي","Nigiri / 2 pieces","نيغيري / قطعتان","White Fish","","","12","","","","","true"
"i090","90","Fume Menu","Sushi","سوشي","Nigiri / 2 pieces","نيغيري / قطعتان","Unagi","","","7","","","","","true"
"i091","91","Fume Menu","Sushi","سوشي","Nigiri / 2 pieces","نيغيري / قطعتان","Crab","","","4","","","","","true"
"i092","92","Fume Menu","Sushi","سوشي","Nigiri / 2 pieces","نيغيري / قطعتان","Salmon","","","8","","","","","true"
"i093","93","Fume Menu","Sushi","سوشي","Nigiri / 2 pieces","نيغيري / قطعتان","Tuna","","","8","","","","","true"
"i094","94","Fume Menu","Sushi","سوشي","Futo Maki / 5 pieces","فوتو ماكي / 5 قطع","Orange Blossom","","","9","","","","","true"
"i095","95","Fume Menu","Sushi","سوشي","Sets","تشكيلات","Sashimi Mix - 9 Pieces","","","30","","","","","true"
"i096","96","Fume Menu","Sushi","سوشي","Sets","تشكيلات","Plaza Classic Sushi - 14 Pieces","","","25","","","","","true"
"i097","97","Fume Menu","Sushi","سوشي","Sets","تشكيلات","Plaza Premium Sushi - 25 Pieces","","","45","","","","","true"
"i098","98","Fume Menu","Sushi","سوشي","Sets","تشكيلات","Crab Lovers - 17 Pieces","","","25","","","","","true"
"i099","99","Fume Menu","Sushi","سوشي","Sets","تشكيلات","Plaza Royal Mix - 30 Pieces","","","82","","","","","true"
"i100","100","Fume Menu","Sushi","سوشي","Sets","تشكيلات","Salmon Platter Set - 16 Pieces","","","38","","","","","true"
"i101","101","Fume Menu","Dessert","الحلويات",".","","Fresh Fruit Cuts Plate","فاكهة طازجة مقطعة","","15","","","","","true"
"i102","102","Fume Menu","Dessert","الحلويات",".","","Chocolate Fondante","فوندان الشوكولاتة","Chocolate fondante with Vanilla Ice Cream","10","","","","","true"
"i103","103","Fume Menu","Dessert","الحلويات",".","","Raspberry Cheesecake","تشيز كيك بالتوت الأحمر","Streusel biscuit topped with Philadelphia cream cheese & red berries compote","10","","","","","true"
"i104","104","Fume Menu","Dessert","الحلويات",".","","Ice Cream & Sorbet","بوظة وسوربيه","Your choice of 3 scoops: Chocolate, Vanilla, Dulce de leche, Strawberry, Raspberry, Lemon, Mango & Mandarin","3","","","","","true"
"i105","105","Fume Menu","Dessert","الحلويات",".","","Tiramisu","تيراميسو","Light and creamy coffee-flavored dessert with layers of mascarpone and cocoa.","10","","","","","true"
"i106","106","Fume Menu","Dessert","الحلويات",".","","Cheese Kunafa","كنافة بالجبنة","","10","","","","","true"
